employee_id,JobRole,Department,attrition_probability,risk_bucket,avg_engagement_score,avg_satisfaction_score,avg_work_life_balance_score,total_skill_gap_count,skill_gap_list,top_course_recommendation
1,Sales Executive,Sales,0.8987697274370436,High,,,,59,"Mathematics, Science, Critical Thinking, Active Learning, Monitoring, Ab Initio, Amazon Web Services AWS software, Apache Hadoop, Apache Pig, Apache Struts, Atlassian JIRA, Autodesk AutoCAD, Border Gateway Protocol BGP, C, C++, Cisco Systems CiscoWorks, Cisco Systems VPN Client, Enterprise application integration EAI software, Enterprise JavaBeans, Extensible markup language XML, Google Cloud software, Google Workspace software, Graphics software, Hewlett Packard HP-UX, Hyperion Solutions Hyperion System 9 Bi+, IBM Cognos Impromptu, IBM DB2, IBM Domino, JavaScript, Kubernetes, Linux, McAfee, Microsoft Access, Microsoft Active Directory, Microsoft Azure software, Microsoft Office software, Microsoft Outlook, Microsoft Project, Microsoft Visio, MicroStrategy, Network directory services software, NortonLifeLock cybersecurity software, Oracle Database, Oracle Java, Platform as a service PaaS, R, React, RESTful API, Sales analysis software, Salesforce software, SAP Adaptive Server Enterprise, SAP Business One, SAP BusinessObjects Crystal Reports, Scheduling software, Security assertion markup language SAML, Shell script, Virtual private networking VPN software, Voice over internet protocol VoIP system software, Wireshark",C++ Object-Oriented Programming
2,Research Scientist,Research & Development,0.10507074864486929,Low,,,,15,"Mathematics, Critical Thinking, Monitoring, IBM Notes, LexisNexis, Medical Scientists MediSave, Microsoft Dynamics, Microsoft Exchange, Microsoft PowerPoint, Microsoft Visual Basic, PerkinElmer TurboMass, Python, R, StataCorp Stata, Waters Q-DIS/QM LIMS",Designing High-Impact PowerPoint Presentations
4,Laboratory Technician,Research & Development,0.7395037350157988,High,,,,21,"Reading Comprehension, Writing, Billing software, Data entry software, Database software, Electronic medical record EMR software, Email software, IBM Notes, Laboratory information system LIS, Medical digital imaging software, Medical system integration software, MEDITECH software, Microsoft Office software, Microsoft Outlook, Microsoft PowerPoint, Microsoft Word, National Instruments LabVIEW, Reimbursement screening software, Specimen tracking software, Sunquest Information Systems Sunquest Laboratory, Test routing software",SQL Querying for Beginners
5,Research Scientist,Research & Development,0.3399659883345663,Low,,,,19,"Monitoring, BioArray Software Environment BASE, FileMaker Pro, IBM SPSS Statistics, Integrated development environment IDE software, LexisNexis, Medical Scientists HybridAI, Medical Scientists MediSave, Microsoft PowerPoint, Microsoft Project, Microsoft Publisher, Minitab, R, StataCorp Stata, Statistical software, The MathWorks MATLAB, UNIX, Waters Millennium32, Waters Q-DIS/QM LIMS",FileMaker Pro Database Development
7,Laboratory Technician,Research & Development,0.8363815396505081,High,,,,20,"Reading Comprehension, Science, Learning Strategies, Billing software, Commercial plate reader software, Data entry software, Electronic medical record EMR software, Email software, FileMaker Pro, IBM Notes, Laboratory information system LIS, Medical digital imaging software, Medical system integration software, Microscopic image capturing software, Quality control software, Quizlet, SAP software, Specimen tracking software, Test result delivery software, Test routing software",FileMaker Pro Database Development
8,Laboratory Technician,Research & Development,0.26666764074229754,Low,,,,21,"Active Listening, Speaking, Mathematics, Active Learning, Monitoring, Billing software, Commercial plate reader software, FileMaker Pro, Google Docs, IBM Notes, Medical digital imaging software, Medical system integration software, MEDITECH software, Microsoft Excel, Microsoft PowerPoint, Microsoft Word, National Instruments LabVIEW, Reimbursement screening software, SAP software, Specimen tracking software, Test routing software",FileMaker Pro Database Development
10,Laboratory Technician,Research & Development,0.463731752461127,Medium,,,,17,"Speaking, Science, Critical Thinking, Learning Strategies, Monitoring, Electronic medical record EMR software, Hematology laboratory workflow management software, Laboratory information system LIS, Medical digital imaging software, Medical system integration software, Microsoft Excel, Microsoft Office software, Microsoft PowerPoint, Quality control software, Reimbursement screening software, Sunquest Information Systems Sunquest Laboratory, Test routing software",Designing High-Impact PowerPoint Presentations
11,Laboratory Technician,Research & Development,0.3073034964437094,Low,,,,19,"Reading Comprehension, Science, Critical Thinking, Active Learning, Learning Strategies, Billing software, Database software, Email software, FileMaker Pro, Hematology laboratory workflow management software, Medical digital imaging software, MEDITECH software, Microscopic image capturing software, Microsoft Excel, Microsoft Office software, Microsoft Outlook, National Instruments LabVIEW, Quizlet, Sunquest Information Systems Sunquest Laboratory",FileMaker Pro Database Development
12,Manufacturing Director,Research & Development,0.38584658544827094,Low,,,,31,"Writing, Critical Thinking, Active Learning, Learning Strategies, Adobe Acrobat, Apple Final Cut Pro, Autodesk AutoCAD, CitectSCADA Reports, Clockware, Computer integrated manufacturing CIM time manager software, Computerized maintenance management system CMMS, Distributed control system DCS, Eko, Exact Software JobBOSS, Financial planning software, IBM Notes, Intuit QuickBooks, Landtec System Software LFG Pro, Microsoft Office software, Microsoft PowerPoint, Microsoft Project, Microsoft Word, NetSuite ERP, Plant management software, QUMAS quality management solution software, SAP Business Objects, SAP software, Scadex Technologies MAESTRO, Schneider Electric CitectSCADA, Web browser software, WorkSchedule.net",Enterprise Resource Planning with SAP
13,Healthcare Representative,Research & Development,0.15233715637828618,Low,,,,25,"Writing, Speaking, Science, Critical Thinking, Active Learning, Admissions, discharge, and transfer ADT software, Complaint management software, Data entry software, Database software, eClinicalWorks EHR software, Epic Systems, FaceTime, Google Docs, Healthcare common procedure coding system HCPCS, Henry Schein Dentrix, Medical condition coding software, Medical procedure coding software, MEDITECH software, Microsoft Dynamics, Microsoft Excel, Microsoft Office software, Microsoft Outlook, Microsoft Word, Patient satisfaction assessment software, Prognosis Solutions ResolvPRM",SQL Querying for Beginners
